situacao,muninomex
ATIVO,JUARINA
ATIVO,LAGOA DA CONFUSAO
ATIVO,LAGOA DO TOCANTINS
ATIVO,LAJEADO
ATIVO,LAVANDEIRA
ATIVO,LIZARDA
ATIVO,LUZINOPOLIS
ATIVO,MARIANOPOLIS DO TOCANTINS
ATIVO,MATEIROS
ATIVO,MAURILANDIA DO TOCANTINS
ATIVO,MIRACEMA DO TOCANTINS
ATIVO,MIRANORTE
ATIVO,MONTE DO CARMO
ATIVO,MONTE SANTO DO TOCANTINS
ATIVO,PALMEIRAS DO TOCANTINS
ATIVO,MURICILANDIA
ATIVO,NATIVIDADE
ATIVO,NAZARE
ATIVO,NOVA OLINDA
ATIVO,NOVA ROSALANDIA
ATIVO,NOVO ACORDO
ATIVO,NOVO ALEGRE
ATIVO,NOVO JARDIM
ATIVO,OLIVEIRA DE FATIMA
ATIVO,PALMEIRANTE
ATIVO,PALMEIROPOLIS
ATIVO,PARAISO DO TOCANTINS
ATIVO,PARANA
ATIVO,PAU D'ARCO
ATIVO,PEDRO AFONSO
ATIVO,PEIXE
ATIVO,PEQUIZEIRO
ATIVO,COLMEIA
ATIVO,PINDORAMA DO TOCANTINS
ATIVO,PIRAQUE
ATIVO,PIUM
ATIVO,PONTE ALTA DO BOM JESUS
ATIVO,PONTE ALTA DO TOCANTINS
ATIVO,PORTO ALEGRE DO TOCANTINS
ATIVO,PORTO NACIONAL
ATIVO,PRAIA NORTE
ATIVO,PRESIDENTE KENNEDY
ATIVO,PUGMIL
ATIVO,RECURSOLANDIA
ATIVO,RIACHINHO
ATIVO,RIO DA CONCEICAO
ATIVO,RIO DOS BOIS
ATIVO,RIO SONO
ATIVO,SAMPAIO
ATIVO,SANDOLANDIA
ATIVO,SANTA FE DO ARAGUAIA
ATIVO,SANTA MARIA DO TOCANTINS
ATIVO,SANTA RITA DO TOCANTINS
ATIVO,SANTA ROSA DO TOCANTINS
ATIVO,SANTA TEREZA DO TOCANTINS
ATIVO,SANTA TEREZINHA DO TOCANTINS
ATIVO,SAO BENTO DO TOCANTINS
ATIVO,SAO FELIX DO TOCANTINS
ATIVO,SAO MIGUEL DO TOCANTINS
ATIVO,SAO SALVADOR DO TOCANTINS
ATIVO,SAO SEBASTIAO DO TOCANTINS
ATIVO,SAO VALERIO
ATIVO,SILVANOPOLIS
ATIVO,SITIO NOVO DO TOCANTINS
ATIVO,SUCUPIRA
ATIVO,TAGUATINGA
ATIVO,TAIPAS DO TOCANTINS
ATIVO,TALISMA
ATIVO,PALMAS
ATIVO,TOCANTINIA
ATIVO,TOCANTINOPOLIS
ATIVO,TUPIRAMA
ATIVO,TUPIRATINS
ATIVO,WANDERLANDIA
ATIVO,XAMBIOA
IGNOR,MUNICIPIO IGNORADO - MA
ATIVO,ACAILANDIA
ATIVO,AFONSO CUNHA
ATIVO,AGUA DOCE DO MARANHAO
ATIVO,ALCANTARA
ATIVO,ALDEIAS ALTAS
ATIVO,ALTAMIRA DO MARANHAO
ATIVO,ALTO ALEGRE DO MARANHAO
ATIVO,ALTO ALEGRE DO PINDARE
ATIVO,ALTO PARNAIBA
ATIVO,AMAPA DO MARANHAO
ATIVO,AMARANTE DO MARANHAO
ATIVO,ANAJATUBA
ATIVO,ANAPURUS
ATIVO,APICUM-ACU
ATIVO,ARAGUANA
ATIVO,ARAIOSES
ATIVO,ARAME
ATIVO,ARARI
ATIVO,AXIXA
ATIVO,BACABAL
ATIVO,BACABEIRA
ATIVO,BACURI
ATIVO,BACURITUBA
ATIVO,BALSAS
ATIVO,BARAO DE GRAJAU
ATIVO,BARRA DO CORDA
ATIVO,BARREIRINHAS
ATIVO,BELAGUA
ATIVO,BELA VISTA DO MARANHAO
ATIVO,BENEDITO LEITE
ATIVO,BEQUIMAO
ATIVO,BERNARDO DO MEARIM
ATIVO,BOA VISTA DO GURUPI
ATIVO,BOM JARDIM
ATIVO,BOM JESUS DAS SELVAS
ATIVO,BOM LUGAR
ATIVO,BREJO
ATIVO,BREJO DE AREIA
ATIVO,BURITI
ATIVO,BURITI BRAVO
ATIVO,BURITICUPU
ATIVO,BURITIRANA
ATIVO,CACHOEIRA GRANDE
ATIVO,CAJAPIO
ATIVO,CAJARI
ATIVO,CAMPESTRE DO MARANHAO
ATIVO,CANDIDO MENDES
ATIVO,CANTANHEDE
ATIVO,CAPINZAL DO NORTE
ATIVO,CAROLINA
ATIVO,CARUTAPERA
ATIVO,CAXIAS
ATIVO,CEDRAL
ATIVO,CENTRAL DO MARANHAO
ATIVO,CENTRO DO GUILHERME
ATIVO,CENTRO NOVO DO MARANHAO
ATIVO,CHAPADINHA
ATIVO,CIDELANDIA
ATIVO,CODO
ATIVO,COELHO NETO
ATIVO,COLINAS
ATIVO,CONCEICAO DO LAGO-ACU
ATIVO,COROATA
ATIVO,CURURUPU
ATIVO,DAVINOPOLIS
ATIVO,DOM PEDRO
ATIVO,DUQUE BACELAR
ATIVO,ESPERANTINOPOLIS
ATIVO,ESTREITO
ATIVO,FEIRA NOVA DO MARANHAO
ATIVO,FERNANDO FALCAO
ATIVO,FORMOSA DA SERRA NEGRA
ATIVO,FORTALEZA DOS NOGUEIRAS
ATIVO,FORTUNA
ATIVO,GODOFREDO VIANA
ATIVO,GONCALVES DIAS
ATIVO,GOVERNADOR ARCHER
ATIVO,GOVERNADOR EDISON LOBAO
ATIVO,GOVERNADOR EUGENIO BARROS
ATIVO,GOVERNADOR LUIZ ROCHA
ATIVO,GOVERNADOR NEWTON BELLO
ATIVO,GOVERNADOR NUNES FREIRE
ATIVO,GRACA ARANHA
ATIVO,GRAJAU
ATIVO,GUIMARAES
ATIVO,HUMBERTO DE CAMPOS
ATIVO,ICATU
ATIVO,IGARAPE DO MEIO
ATIVO,IGARAPE GRANDE
ATIVO,IMPERATRIZ
ATIVO,ITAIPAVA DO GRAJAU
ATIVO,ITAPECURU MIRIM
ATIVO,ITINGA DO MARANHAO
ATIVO,JATOBA
ATIVO,JENIPAPO DOS VIEIRAS
ATIVO,JOAO LISBOA
ATIVO,JOSELANDIA
ATIVO,JUNCO DO MARANHAO
ATIVO,LAGO DA PEDRA
ATIVO,LAGO DO JUNCO
ATIVO,LAGO VERDE
ATIVO,LAGOA DO MATO
ATIVO,LAGO DOS RODRIGUES
ATIVO,LAGOA GRANDE DO MARANHAO
ATIVO,LAJEADO NOVO
ATIVO,LIMA CAMPOS
ATIVO,LORETO
ATIVO,LUIS DOMINGUES
ATIVO,MAGALHAES DE ALMEIDA
ATIVO,MARACACUME
ATIVO,MARAJA DO SENA
ATIVO,MARANHAOZINHO
ATIVO,MATA ROMA
ATIVO,MATINHA
ATIVO,MATOES
ATIVO,MATOES DO NORTE
ATIVO,MILAGRES DO MARANHAO
ATIVO,MIRADOR
ATIVO,MIRANDA DO NORTE
ATIVO,MIRINZAL
ATIVO,MONCAO
ATIVO,MONTES ALTOS
ATIVO,MORROS
ATIVO,NINA RODRIGUES
ATIVO,NOVA COLINAS
ATIVO,NOVA IORQUE
ATIVO,NOVA OLINDA DO MARANHAO
ATIVO,OLHO D'AGUA DAS CUNHAS
ATIVO,OLINDA NOVA DO MARANHAO
ATIVO,PACO DO LUMIAR
ATIVO,PALMEIRANDIA
ATIVO,PARAIBANO
ATIVO,PARNARAMA
ATIVO,PASSAGEM FRANCA
ATIVO,PASTOS BONS
ATIVO,PAULINO NEVES
ATIVO,PAULO RAMOS
ATIVO,PEDREIRAS
ATIVO,PEDRO DO ROSARIO
ATIVO,PENALVA
ATIVO,PERI MIRIM
ATIVO,PERITORO
ATIVO,PINDARE-MIRIM
ATIVO,PINHEIRO
ATIVO,PIO XII
ATIVO,PIRAPEMAS
ATIVO,POCAO DE PEDRAS
ATIVO,PORTO FRANCO
ATIVO,PORTO RICO DO MARANHAO
ATIVO,PRESIDENTE DUTRA
ATIVO,PRESIDENTE JUSCELINO
ATIVO,PRESIDENTE MEDICI
ATIVO,PRESIDENTE SARNEY
ATIVO,PRESIDENTE VARGAS
ATIVO,PRIMEIRA CRUZ
ATIVO,RAPOSA
ATIVO,RIACHAO
ATIVO,RIBAMAR FIQUENE
ATIVO,ROSARIO
ATIVO,SAMBAIBA
ATIVO,SANTA FILOMENA DO MARANHAO
ATIVO,SANTA HELENA
ATIVO,SANTA INES
ATIVO,SANTA LUZIA
ATIVO,SANTA LUZIA DO PARUA
ATIVO,SANTA QUITERIA DO MARANHAO
ATIVO,SANTA RITA
ATIVO,SANTANA DO MARANHAO
ATIVO,SANTO AMARO DO MARANHAO
ATIVO,SANTO ANTONIO DOS LOPES
ATIVO,SAO BENEDITO DO RIO PRETO
ATIVO,SAO BENTO
ATIVO,SAO BERNARDO
ATIVO,SAO DOMINGOS DO AZEITAO
ATIVO,SAO DOMINGOS DO MARANHAO
ATIVO,SAO FELIX DE BALSAS
ATIVO,SAO FRANCISCO DO BREJAO
ATIVO,SAO FRANCISCO DO MARANHAO
ATIVO,SAO JOAO BATISTA
ATIVO,SAO JOAO DO CARU
ATIVO,SAO JOAO DO PARAISO
ATIVO,SAO JOAO DO SOTER
ATIVO,SAO JOAO DOS PATOS
ATIVO,SAO JOSE DE RIBAMAR
ATIVO,SAO JOSE DOS BASILIOS
ATIVO,SAO LUIS
ATIVO,SAO LUIS GONZAGA DO MARANHAO
ATIVO,SAO MATEUS DO MARANHAO
ATIVO,SAO PEDRO DA AGUA BRANCA
ATIVO,SAO PEDRO DOS CRENTES
ATIVO,SAO RAIMUNDO DAS MANGABEIRAS
ATIVO,SAO RAIMUNDO DO DOCA BEZERRA
ATIVO,SAO ROBERTO
ATIVO,SAO VICENTE FERRER
ATIVO,SATUBINHA
ATIVO,SENADOR ALEXANDRE COSTA
ATIVO,SENADOR LA ROCQUE
ATIVO,SERRANO DO MARANHAO
ATIVO,SITIO NOVO
ATIVO,SUCUPIRA DO NORTE
ATIVO,SUCUPIRA DO RIACHAO
ATIVO,TASSO FRAGOSO
ATIVO,TIMBIRAS
ATIVO,TIMON
ATIVO,TRIZIDELA DO VALE
ATIVO,TUFILANDIA
ATIVO,TUNTUM
ATIVO,TURIACU
ATIVO,TURILANDIA
ATIVO,TUTOIA
ATIVO,URBANO SANTOS
ATIVO,VARGEM GRANDE
ATIVO,VIANA
ATIVO,VILA NOVA DOS MARTIRIOS
ATIVO,VITORIA DO MEARIM
ATIVO,VITORINO FREIRE
ATIVO,ZE DOCA
IGNOR,MUNICIPIO IGNORADO - PI
ATIVO,ACAUA
ATIVO,AGRICOLANDIA
ATIVO,AGUA BRANCA
ATIVO,ALAGOINHA DO PIAUI
ATIVO,ALEGRETE DO PIAUI
ATIVO,ALTO LONGA
ATIVO,ALTOS
ATIVO,ALVORADA DO GURGUEIA
ATIVO,AMARANTE
ATIVO,ANGICAL DO PIAUI
ATIVO,ANISIO DE ABREU
ATIVO,ANTONIO ALMEIDA
ATIVO,AROAZES
ATIVO,AROEIRAS DO ITAIM
ATIVO,ARRAIAL
ATIVO,ASSUNCAO DO PIAUI
ATIVO,AVELINO LOPES
ATIVO,BAIXA GRANDE DO RIBEIRO
ATIVO,BARRA D'ALCANTARA
ATIVO,BARRAS
ATIVO,BARREIRAS DO PIAUI
ATIVO,BARRO DURO
ATIVO,BATALHA
ATIVO,BELA VISTA DO PIAUI
ATIVO,BELEM DO PIAUI
ATIVO,BENEDITINOS
ATIVO,BERTOLINIA
ATIVO,BETANIA DO PIAUI
ATIVO,BOA HORA
ATIVO,BOCAINA
ATIVO,BOM JESUS
ATIVO,BOM PRINCIPIO DO PIAUI
ATIVO,BONFIM DO PIAUI
ATIVO,BOQUEIRAO DO PIAUI
ATIVO,BRASILEIRA
ATIVO,BREJO DO PIAUI
ATIVO,BURITI DOS LOPES
ATIVO,BURITI DOS MONTES
ATIVO,CABECEIRAS DO PIAUI
ATIVO,CAJAZEIRAS DO PIAUI
ATIVO,CAJUEIRO DA PRAIA
ATIVO,CALDEIRAO GRANDE DO PIAUI
ATIVO,CAMPINAS DO PIAUI
ATIVO,CAMPO ALEGRE DO FIDALGO
ATIVO,CAMPO GRANDE DO PIAUI
ATIVO,CAMPO LARGO DO PIAUI
ATIVO,CAMPO MAIOR
ATIVO,CANAVIEIRA
ATIVO,CANTO DO BURITI
ATIVO,CAPITAO DE CAMPOS
ATIVO,CAPITAO GERVASIO OLIVEIRA
ATIVO,CARACOL
ATIVO,CARAUBAS DO PIAUI
ATIVO,CARIDADE DO PIAUI
ATIVO,CASTELO DO PIAUI
ATIVO,CAXINGO
ATIVO,COCAL
ATIVO,COCAL DE TELHA
ATIVO,COCAL DOS ALVES
ATIVO,COIVARAS
ATIVO,COLONIA DO GURGUEIA
ATIVO,COLONIA DO PIAUI
ATIVO,CONCEICAO DO CANINDE
ATIVO,CORONEL JOSE DIAS
ATIVO,CORRENTE
ATIVO,CRISTALANDIA DO PIAUI
ATIVO,CRISTINO CASTRO
ATIVO,CURIMATA
ATIVO,CURRAIS
ATIVO,CURRALINHOS
ATIVO,CURRAL NOVO DO PIAUI
ATIVO,DEMERVAL LOBAO
ATIVO,DIRCEU ARCOVERDE
ATIVO,DOM EXPEDITO LOPES
ATIVO,DOMINGOS MOURAO
ATIVO,DOM INOCENCIO
ATIVO,ELESBAO VELOSO
ATIVO,ELISEU MARTINS
ATIVO,ESPERANTINA
ATIVO,FARTURA DO PIAUI
ATIVO,FLORES DO PIAUI
ATIVO,FLORESTA DO PIAUI
ATIVO,FLORIANO
ATIVO,FRANCINOPOLIS
ATIVO,FRANCISCO AYRES
ATIVO,FRANCISCO MACEDO
ATIVO,FRANCISCO SANTOS
ATIVO,FRONTEIRAS
ATIVO,GEMINIANO
ATIVO,GILBUES
ATIVO,GUADALUPE
ATIVO,GUARIBAS
ATIVO,HUGO NAPOLEAO
ATIVO,ILHA GRANDE
ATIVO,INHUMA
ATIVO,IPIRANGA DO PIAUI
ATIVO,ISAIAS COELHO
ATIVO,ITAINOPOLIS
ATIVO,ITAUEIRA
ATIVO,JACOBINA DO PIAUI
ATIVO,JAICOS
ATIVO,JARDIM DO MULATO
ATIVO,JATOBA DO PIAUI
ATIVO,JERUMENHA
ATIVO,JOAO COSTA
ATIVO,JOAQUIM PIRES
ATIVO,JOCA MARQUES
ATIVO,JOSE DE FREITAS
ATIVO,JUAZEIRO DO PIAUI
ATIVO,JULIO BORGES
ATIVO,JUREMA
ATIVO,LAGOINHA DO PIAUI
ATIVO,LAGOA ALEGRE
ATIVO,LAGOA DO BARRO DO PIAUI
ATIVO,LAGOA DE SAO FRANCISCO
ATIVO,LAGOA DO PIAUI
ATIVO,LAGOA DO SITIO
ATIVO,LANDRI SALES
ATIVO,LUIS CORREIA
ATIVO,LUZILANDIA
ATIVO,MADEIRO
ATIVO,MANOEL EMIDIO
ATIVO,MARCOLANDIA
ATIVO,MARCOS PARENTE
ATIVO,MASSAPE DO PIAUI
ATIVO,MATIAS OLIMPIO
ATIVO,MIGUEL ALVES
ATIVO,MIGUEL LEAO
ATIVO,MILTON BRANDAO
ATIVO,MONSENHOR GIL
ATIVO,MONSENHOR HIPOLITO
ATIVO,MONTE ALEGRE DO PIAUI
ATIVO,MORRO CABECA NO TEMPO
ATIVO,MORRO DO CHAPEU DO PIAUI
ATIVO,MURICI DOS PORTELAS
ATIVO,NAZARE DO PIAUI
